noun,condition,adjective,denotation,phrase
crust,concrete,potential,non-subsective,potential crust
crust,concrete,past,non-subsective,past crust
crust,concrete,fake,non-subsective,fake crust
patch,concrete,good,subsective,good patch
patch,concrete,recent,subsective,recent patch
patch,concrete,typical,subsective,typical patch
patch,concrete,new,subsective,new patch
patch,concrete,possible,non-subsective,possible patch
patch,concrete,potential,non-subsective,potential patch
patch,concrete,past,non-subsective,past patch
patch,concrete,fake,non-subsective,fake patch
dress,concrete,good,subsective,good dress
dress,concrete,recent,subsective,recent dress
dress,concrete,typical,subsective,typical dress
dress,concrete,new,subsective,new dress
dress,concrete,possible,non-subsective,possible dress
dress,concrete,potential,non-subsective,potential dress
dress,concrete,past,non-subsective,past dress
dress,concrete,fake,non-subsective,fake dress
vulva,concrete,good,subsective,good vulva
vulva,concrete,recent,subsective,recent vulva
vulva,concrete,typical,subsective,typical vulva
vulva,concrete,new,subsective,new vulva
vulva,concrete,possible,non-subsective,possible vulva
vulva,concrete,potential,non-subsective,potential vulva
vulva,concrete,past,non-subsective,past vulva
vulva,concrete,fake,non-subsective,fake vulva
busload,concrete,good,subsective,good busload
busload,concrete,recent,subsective,recent busload
busload,concrete,typical,subsective,typical busload
busload,concrete,new,subsective,new busload
busload,concrete,possible,non-subsective,possible busload
busload,concrete,potential,non-subsective,potential busload
busload,concrete,past,non-subsective,past busload
busload,concrete,fake,non-subsective,fake busload
maize,concrete,good,subsective,good maize
maize,concrete,recent,subsective,recent maize
maize,concrete,typical,subsective,typical maize
maize,concrete,new,subsective,new maize
maize,concrete,possible,non-subsective,possible maize
maize,concrete,potential,non-subsective,potential maize
maize,concrete,past,non-subsective,past maize
maize,concrete,fake,non-subsective,fake maize
sketch,concrete,good,subsective,good sketch
sketch,concrete,recent,subsective,recent sketch
sketch,concrete,typical,subsective,typical sketch
sketch,concrete,new,subsective,new sketch
sketch,concrete,possible,non-subsective,possible sketch
sketch,concrete,potential,non-subsective,potential sketch
sketch,concrete,past,non-subsective,past sketch
sketch,concrete,fake,non-subsective,fake sketch
ground,concrete,good,subsective,good ground
ground,concrete,recent,subsective,recent ground
ground,concrete,typical,subsective,typical ground
ground,concrete,new,subsective,new ground
ground,concrete,possible,non-subsective,possible ground
ground,concrete,potential,non-subsective,potential ground
ground,concrete,past,non-subsective,past ground
ground,concrete,fake,non-subsective,fake ground
floss,concrete,good,subsective,good floss
floss,concrete,recent,subsective,recent floss
floss,concrete,typical,subsective,typical floss
floss,concrete,new,subsective,new floss
floss,concrete,possible,non-subsective,possible floss
floss,concrete,potential,non-subsective,potential floss
floss,concrete,past,non-subsective,past floss
floss,concrete,fake,non-subsective,fake floss
spades,concrete,good,subsective,good spades
spades,concrete,recent,subsective,recent spades
spades,concrete,typical,subsective,typical spades
spades,concrete,new,subsective,new spades
spades,concrete,possible,non-subsective,possible spades
spades,concrete,potential,non-subsective,potential spades
spades,concrete,past,non-subsective,past spades
spades,concrete,fake,non-subsective,fake spades
leak,concrete,good,subsective,good leak
leak,concrete,recent,subsective,recent leak
leak,concrete,typical,subsective,typical leak
leak,concrete,new,subsective,new leak
leak,concrete,possible,non-subsective,possible leak
leak,concrete,potential,non-subsective,potential leak
leak,concrete,past,non-subsective,past leak
leak,concrete,fake,non-subsective,fake leak
risotto,concrete,good,subsective,good risotto
risotto,concrete,recent,subsective,recent risotto
risotto,concrete,typical,subsective,typical risotto
risotto,concrete,new,subsective,new risotto
risotto,concrete,possible,non-subsective,possible risotto
risotto,concrete,potential,non-subsective,potential risotto
risotto,concrete,past,non-subsective,past risotto
risotto,concrete,fake,non-subsective,fake risotto
vampire,concrete,good,subsective,good vampire
vampire,concrete,recent,subsective,recent vampire
vampire,concrete,typical,subsective,typical vampire
vampire,concrete,new,subsective,new vampire
vampire,concrete,possible,non-subsective,possible vampire
vampire,concrete,potential,non-subsective,potential vampire
vampire,concrete,past,non-subsective,past vampire
vampire,concrete,fake,non-subsective,fake vampire
egg,concrete,good,subsective,good egg
egg,concrete,recent,subsective,recent egg
egg,concrete,typical,subsective,typical egg
egg,concrete,new,subsective,new egg
egg,concrete,possible,non-subsective,possible egg
egg,concrete,potential,non-subsective,potential egg
egg,concrete,past,non-subsective,past egg
egg,concrete,fake,non-subsective,fake egg
rivet,concrete,good,subsective,good rivet
rivet,concrete,recent,subsective,recent rivet
rivet,concrete,typical,subsective,typical rivet
rivet,concrete,new,subsective,new rivet
rivet,concrete,possible,non-subsective,possible rivet
rivet,concrete,potential,non-subsective,potential rivet
rivet,concrete,past,non-subsective,past rivet
rivet,concrete,fake,non-subsective,fake rivet
stitch,concrete,good,subsective,good stitch
stitch,concrete,recent,subsective,recent stitch
stitch,concrete,typical,subsective,typical stitch
stitch,concrete,new,subsective,new stitch
stitch,concrete,possible,non-subsective,possible stitch
stitch,concrete,potential,non-subsective,potential stitch
stitch,concrete,past,non-subsective,past stitch
stitch,concrete,fake,non-subsective,fake stitch
analyst,concrete,good,subsective,good analyst
analyst,concrete,recent,subsective,recent analyst
analyst,concrete,typical,subsective,typical analyst
analyst,concrete,new,subsective,new analyst
analyst,concrete,possible,non-subsective,possible analyst
analyst,concrete,potential,non-subsective,potential analyst
analyst,concrete,past,non-subsective,past analyst
analyst,concrete,fake,non-subsective,fake analyst
pigment,concrete,good,subsective,good pigment
pigment,concrete,recent,subsective,recent pigment
pigment,concrete,typical,subsective,typical pigment
pigment,concrete,new,subsective,new pigment
pigment,concrete,possible,non-subsective,possible pigment
pigment,concrete,potential,non-subsective,potential pigment
pigment,concrete,past,non-subsective,past pigment
pigment,concrete,fake,non-subsective,fake pigment
flour,concrete,good,subsective,good flour
flour,concrete,recent,subsective,recent flour
flour,concrete,typical,subsective,typical flour
flour,concrete,new,subsective,new flour
flour,concrete,possible,non-subsective,possible flour
flour,concrete,potential,non-subsective,potential flour
flour,concrete,past,non-subsective,past flour
flour,concrete,fake,non-subsective,fake flour
stone,concrete,good,subsective,good stone
stone,concrete,recent,subsective,recent stone
stone,concrete,typical,subsective,typical stone
stone,concrete,new,subsective,new stone
stone,concrete,possible,non-subsective,possible stone
stone,concrete,potential,non-subsective,potential stone
stone,concrete,past,non-subsective,past stone
stone,concrete,fake,non-subsective,fake stone
snorer,concrete,good,subsective,good snorer
snorer,concrete,recent,subsective,recent snorer
snorer,concrete,typical,subsective,typical snorer
snorer,concrete,new,subsective,new snorer
snorer,concrete,possible,non-subsective,possible snorer
snorer,concrete,potential,non-subsective,potential snorer
snorer,concrete,past,non-subsective,past snorer
snorer,concrete,fake,non-subsective,fake snorer
lager,concrete,good,subsective,good lager
lager,concrete,recent,subsective,recent lager
lager,concrete,typical,subsective,typical lager
lager,concrete,new,subsective,new lager
lager,concrete,possible,non-subsective,possible lager
lager,concrete,potential,non-subsective,potential lager
lager,concrete,past,non-subsective,past lager
lager,concrete,fake,non-subsective,fake lager
lube,concrete,good,subsective,good lube
lube,concrete,recent,subsective,recent lube
lube,concrete,typical,subsective,typical lube
lube,concrete,new,subsective,new lube
lube,concrete,possible,non-subsective,possible lube
lube,concrete,potential,non-subsective,potential lube
lube,concrete,past,non-subsective,past lube
lube,concrete,fake,non-subsective,fake lube
head,concrete,good,subsective,good head
head,concrete,recent,subsective,recent head
head,concrete,typical,subsective,typical head
head,concrete,new,subsective,new head
head,concrete,possible,non-subsective,possible head
head,concrete,potential,non-subsective,potential head
head,concrete,past,non-subsective,past head
head,concrete,fake,non-subsective,fake head
drapery,concrete,good,subsective,good drapery
drapery,concrete,recent,subsective,recent drapery
drapery,concrete,typical,subsective,typical drapery
drapery,concrete,new,subsective,new drapery
drapery,concrete,possible,non-subsective,possible drapery
drapery,concrete,potential,non-subsective,potential drapery
drapery,concrete,past,non-subsective,past drapery
drapery,concrete,fake,non-subsective,fake drapery
parfait,concrete,good,subsective,good parfait
parfait,concrete,recent,subsective,recent parfait
parfait,concrete,typical,subsective,typical parfait
parfait,concrete,new,subsective,new parfait
parfait,concrete,possible,non-subsective,possible parfait
parfait,concrete,potential,non-subsective,potential parfait
parfait,concrete,past,non-subsective,past parfait
parfait,concrete,fake,non-subsective,fake parfait
haircut,concrete,good,subsective,good haircut
haircut,concrete,recent,subsective,recent haircut
haircut,concrete,typical,subsective,typical haircut
haircut,concrete,new,subsective,new haircut
haircut,concrete,possible,non-subsective,possible haircut
haircut,concrete,potential,non-subsective,potential haircut
haircut,concrete,past,non-subsective,past haircut
haircut,concrete,fake,non-subsective,fake haircut
bowler,concrete,good,subsective,good bowler
bowler,concrete,recent,subsective,recent bowler
bowler,concrete,typical,subsective,typical bowler
bowler,concrete,new,subsective,new bowler
bowler,concrete,possible,non-subsective,possible bowler
bowler,concrete,potential,non-subsective,potential bowler
bowler,concrete,past,non-subsective,past bowler
bowler,concrete,fake,non-subsective,fake bowler
deli,concrete,good,subsective,good deli
deli,concrete,recent,subsective,recent deli
deli,concrete,typical,subsective,typical deli
deli,concrete,new,subsective,new deli
deli,concrete,possible,non-subsective,possible deli
deli,concrete,potential,non-subsective,potential deli
deli,concrete,past,non-subsective,past deli
deli,concrete,fake,non-subsective,fake deli
garbage,concrete,good,subsective,good garbage
garbage,concrete,recent,subsective,recent garbage
garbage,concrete,typical,subsective,typical garbage
garbage,concrete,new,subsective,new garbage
garbage,concrete,possible,non-subsective,possible garbage
garbage,concrete,potential,non-subsective,potential garbage
garbage,concrete,past,non-subsective,past garbage
garbage,concrete,fake,non-subsective,fake garbage
cowhide,concrete,good,subsective,good cowhide
cowhide,concrete,recent,subsective,recent cowhide
cowhide,concrete,typical,subsective,typical cowhide
cowhide,concrete,new,subsective,new cowhide
cowhide,concrete,possible,non-subsective,possible cowhide
cowhide,concrete,potential,non-subsective,potential cowhide
cowhide,concrete,past,non-subsective,past cowhide
cowhide,concrete,fake,non-subsective,fake cowhide
quiz,concrete,good,subsective,good quiz
quiz,concrete,recent,subsective,recent quiz
quiz,concrete,typical,subsective,typical quiz
quiz,concrete,new,subsective,new quiz
quiz,concrete,possible,non-subsective,possible quiz
quiz,concrete,potential,non-subsective,potential quiz
quiz,concrete,past,non-subsective,past quiz
quiz,concrete,fake,non-subsective,fake quiz
brim,concrete,good,subsective,good brim
brim,concrete,recent,subsective,recent brim
brim,concrete,typical,subsective,typical brim
brim,concrete,new,subsective,new brim
brim,concrete,possible,non-subsective,possible brim
brim,concrete,potential,non-subsective,potential brim
brim,concrete,past,non-subsective,past brim
brim,concrete,fake,non-subsective,fake brim
gypsy,concrete,good,subsective,good gypsy
gypsy,concrete,recent,subsective,recent gypsy
gypsy,concrete,typical,subsective,typical gypsy
gypsy,concrete,new,subsective,new gypsy
gypsy,concrete,possible,non-subsective,possible gypsy
gypsy,concrete,potential,non-subsective,potential gypsy
gypsy,concrete,past,non-subsective,past gypsy
gypsy,concrete,fake,non-subsective,fake gypsy
bubble,concrete,good,subsective,good bubble
bubble,concrete,recent,subsective,recent bubble
bubble,concrete,typical,subsective,typical bubble
bubble,concrete,new,subsective,new bubble
bubble,concrete,possible,non-subsective,possible bubble
bubble,concrete,potential,non-subsective,potential bubble
bubble,concrete,past,non-subsective,past bubble
bubble,concrete,fake,non-subsective,fake bubble
flare,concrete,good,subsective,good flare
flare,concrete,recent,subsective,recent flare
flare,concrete,typical,subsective,typical flare
flare,concrete,new,subsective,new flare
flare,concrete,possible,non-subsective,possible flare
flare,concrete,potential,non-subsective,potential flare
flare,concrete,past,non-subsective,past flare
flare,concrete,fake,non-subsective,fake flare
guava,concrete,good,subsective,good guava
guava,concrete,recent,subsective,recent guava
guava,concrete,typical,subsective,typical guava
guava,concrete,new,subsective,new guava
guava,concrete,possible,non-subsective,possible guava
guava,concrete,potential,non-subsective,potential guava
guava,concrete,past,non-subsective,past guava
guava,concrete,fake,non-subsective,fake guava
judo,concrete,good,subsective,good judo
judo,concrete,recent,subsective,recent judo
judo,concrete,typical,subsective,typical judo
judo,concrete,new,subsective,new judo
judo,concrete,possible,non-subsective,possible judo
judo,concrete,potential,non-subsective,potential judo
judo,concrete,past,non-subsective,past judo
judo,concrete,fake,non-subsective,fake judo
thorax,concrete,good,subsective,good thorax
thorax,concrete,recent,subsective,recent thorax
thorax,concrete,typical,subsective,typical thorax
thorax,concrete,new,subsective,new thorax
thorax,concrete,possible,non-subsective,possible thorax
thorax,concrete,potential,non-subsective,potential thorax
thorax,concrete,past,non-subsective,past thorax
thorax,concrete,fake,non-subsective,fake thorax
parsnip,concrete,good,subsective,good parsnip
parsnip,concrete,recent,subsective,recent parsnip
parsnip,concrete,typical,subsective,typical parsnip
parsnip,concrete,new,subsective,new parsnip
parsnip,concrete,possible,non-subsective,possible parsnip
parsnip,concrete,potential,non-subsective,potential parsnip
parsnip,concrete,past,non-subsective,past parsnip
parsnip,concrete,fake,non-subsective,fake parsnip
wound,concrete,good,subsective,good wound
wound,concrete,recent,subsective,recent wound
wound,concrete,typical,subsective,typical wound
wound,concrete,new,subsective,new wound
wound,concrete,possible,non-subsective,possible wound
wound,concrete,potential,non-subsective,potential wound
wound,concrete,past,non-subsective,past wound
wound,concrete,fake,non-subsective,fake wound
maze,concrete,good,subsective,good maze
maze,concrete,recent,subsective,recent maze
maze,concrete,typical,subsective,typical maze
maze,concrete,new,subsective,new maze
maze,concrete,possible,non-subsective,possible maze
maze,concrete,potential,non-subsective,potential maze
maze,concrete,past,non-subsective,past maze
maze,concrete,fake,non-subsective,fake maze
citizen,concrete,good,subsective,good citizen
citizen,concrete,recent,subsective,recent citizen
citizen,concrete,typical,subsective,typical citizen
citizen,concrete,new,subsective,new citizen
citizen,concrete,possible,non-subsective,possible citizen
citizen,concrete,potential,non-subsective,potential citizen
citizen,concrete,past,non-subsective,past citizen
citizen,concrete,fake,non-subsective,fake citizen
tibia,concrete,good,subsective,good tibia
tibia,concrete,recent,subsective,recent tibia
tibia,concrete,typical,subsective,typical tibia
tibia,concrete,new,subsective,new tibia
tibia,concrete,possible,non-subsective,possible tibia
tibia,concrete,potential,non-subsective,potential tibia
tibia,concrete,past,non-subsective,past tibia
tibia,concrete,fake,non-subsective,fake tibia
smile,concrete,good,subsective,good smile
smile,concrete,recent,subsective,recent smile
smile,concrete,typical,subsective,typical smile
smile,concrete,new,subsective,new smile
smile,concrete,possible,non-subsective,possible smile
smile,concrete,potential,non-subsective,potential smile
smile,concrete,past,non-subsective,past smile
smile,concrete,fake,non-subsective,fake smile
pint,concrete,good,subsective,good pint
pint,concrete,recent,subsective,recent pint
pint,concrete,typical,subsective,typical pint
pint,concrete,new,subsective,new pint
pint,concrete,possible,non-subsective,possible pint
pint,concrete,potential,non-subsective,potential pint
pint,concrete,past,non-subsective,past pint
pint,concrete,fake,non-subsective,fake pint
mesh,concrete,good,subsective,good mesh
mesh,concrete,recent,subsective,recent mesh
mesh,concrete,typical,subsective,typical mesh
mesh,concrete,new,subsective,new mesh
mesh,concrete,possible,non-subsective,possible mesh
mesh,concrete,potential,non-subsective,potential mesh
mesh,concrete,past,non-subsective,past mesh
mesh,concrete,fake,non-subsective,fake mesh
cricket,concrete,good,subsective,good cricket
cricket,concrete,recent,subsective,recent cricket
cricket,concrete,typical,subsective,typical cricket
cricket,concrete,new,subsective,new cricket
cricket,concrete,possible,non-subsective,possible cricket
cricket,concrete,potential,non-subsective,potential cricket
cricket,concrete,past,non-subsective,past cricket
cricket,concrete,fake,non-subsective,fake cricket
mascara,concrete,good,subsective,good mascara
mascara,concrete,recent,subsective,recent mascara
mascara,concrete,typical,subsective,typical mascara
mascara,concrete,new,subsective,new mascara
mascara,concrete,possible,non-subsective,possible mascara
mascara,concrete,potential,non-subsective,potential mascara
mascara,concrete,past,non-subsective,past mascara
mascara,concrete,fake,non-subsective,fake mascara
rifle,concrete,good,subsective,good rifle
