set_nr,condition,word1,word2,trigger_word1,trigger_word2
,high_spec,flightless,bird,,
,high_spec,small,bird,,
,high_spec,white,bird,,
,high_spec,expensive,boat,,
,high_spec,poetry,book,,
,high_spec,rain,boots,,
,high_spec,ring-shaped,bread,,
,high_spec,french,bread,,
,high_spec,farm,building,,
,high_spec,religious,building,,
,high_spec,industrial,building,,
,high_spec,medical,building,,
,high_spec,residential,building,,
,high_spec,wooden,buildings,,
,high_spec,expensive,car,,
,high_spec,long,car,,
,high_spec,fast,cat,,
,high_spec,large,cat,,
,high_spec,hairless,cat,,
,high_spec,striped,cat,,
,high_spec,small,chairs,,
,high_spec,French,cheese,,
,high_spec,English,cheese,,
,high_spec,warm,clothing,,
,high_spec,professional,cooks,,
,high_spec,warm,cover,,
,high_spec,calling,devices,,
,high_spec,infectious,disease,,
,high_spec,small,dog,,
,high_spec,guide,dog,,
,high_spec,long-haired,dog,,
,high_spec,wrinkly,dog,,
,high_spec,restaurant,employees,,
,high_spec,flat,fish,,
,high_spec,flat,fish,,
,high_spec,oily,fish,,
,high_spec,predator,fish,,
,high_spec,wooden,floor,,
,high_spec,blue,flower,,
,high_spec,yellow,flower,,
,high_spec,thorny,flower,,
,high_spec,thorny,fruit,,
,high_spec,yellow,fruit,,
,high_spec,purple,fruit,,
,high_spec,hairy,fruit,,
,high_spec,juicy,fruit,,
,high_spec,red,fruit,,
,high_spec,tackle,games,,
,high_spec,green,gem,,
,high_spec,red,gem,,
,high_spec,blue,gem,,
,high_spec,round,handles,,
,high_spec,French,hat,,
,high_spec,striped,horse,,
,high_spec,teaching,institution,,
,high_spec,male,kids,,
,high_spec,smoky,liquor,,
,high_spec,flying,mammal,,
,high_spec,spiky,mammal,,
,high_spec,marine,mammal,,
,high_spec,permanent,marks,,
,high_spec,skewered,meat,,
,high_spec,topical,medicine,,
,high_spec,appointed,politicians,,
,high_spec,large,reptile,,
,high_spec,shelled,reptile,,
,high_spec,huge,residences,,
,high_spec,tomato,sauce,,
,high_spec,wooden,shoe,,
,high_spec,potato,snacks,,
,high_spec,cutting,tool,,
,high_spec,digging,tool,,
,high_spec,gardening,tool,,
,high_spec,coniferous,tree,,
,high_spec,tropical,tree,,
,high_spec,tined,utensil,,
,high_spec,purple,vegetable,,
,high_spec,orange,vegetable,,
,high_spec,yellow,vegetable,,
,high_spec,leafy,vegetable,,
,high_spec,spherical,vegetable,,
,high_spec,starchy,vegetable,,
,high_spec,orange,vegetable,,
,high_spec,medical,vehicle,,
,high_spec,horse-drawn,vehicle,,
,high_spec,transport,vehicle,,
,high_spec,underwater,vehicle,,
,high_spec,armoured,vehicle,,
,high_spec,farm,vehicle,,
,high_spec,water,vessel,,
,high_spec,flower,vessel,,
,high_spec,fizzy,wine,,
,high_spec,Italian,food,,
,high_spec,Japanese,food,,
