noun,condition,adjective,phrase
vampire,concrete,recent,recent vampire
vampire,concrete,typical,typical vampire
vampire,concrete,possible,possible vampire
vampire,concrete,alleged,alleged vampire
vampire,concrete,dubious,dubious vampire
egg,concrete,good,good egg
egg,concrete,recent,recent egg
egg,concrete,typical,typical egg
egg,concrete,possible,possible egg
egg,concrete,alleged,alleged egg
egg,concrete,dubious,dubious egg
rivet,concrete,good,good rivet
rivet,concrete,recent,recent rivet
rivet,concrete,typical,typical rivet
rivet,concrete,possible,possible rivet
rivet,concrete,alleged,alleged rivet
rivet,concrete,dubious,dubious rivet
stitch,concrete,good,good stitch
stitch,concrete,recent,recent stitch
stitch,concrete,typical,typical stitch
stitch,concrete,possible,possible stitch
stitch,concrete,alleged,alleged stitch
stitch,concrete,dubious,dubious stitch
analyst,concrete,good,good analyst
analyst,concrete,recent,recent analyst
analyst,concrete,typical,typical analyst
analyst,concrete,possible,possible analyst
analyst,concrete,alleged,alleged analyst
analyst,concrete,dubious,dubious analyst
pigment,concrete,good,good pigment
pigment,concrete,recent,recent pigment
pigment,concrete,typical,typical pigment
pigment,concrete,possible,possible pigment
pigment,concrete,alleged,alleged pigment
pigment,concrete,dubious,dubious pigment
flour,concrete,good,good flour
flour,concrete,recent,recent flour
flour,concrete,typical,typical flour
flour,concrete,possible,possible flour
flour,concrete,alleged,alleged flour
flour,concrete,dubious,dubious flour
stone,concrete,good,good stone
stone,concrete,recent,recent stone
stone,concrete,typical,typical stone
stone,concrete,possible,possible stone
stone,concrete,alleged,alleged stone
stone,concrete,dubious,dubious stone
snorer,concrete,good,good snorer
snorer,concrete,recent,recent snorer
snorer,concrete,typical,typical snorer
snorer,concrete,possible,possible snorer
snorer,concrete,alleged,alleged snorer
snorer,concrete,dubious,dubious snorer
lager,concrete,good,good lager
lager,concrete,recent,recent lager
lager,concrete,typical,typical lager
lager,concrete,possible,possible lager
lager,concrete,alleged,alleged lager
lager,concrete,dubious,dubious lager
lube,concrete,good,good lube
lube,concrete,recent,recent lube
lube,concrete,typical,typical lube
lube,concrete,possible,possible lube
lube,concrete,alleged,alleged lube
lube,concrete,dubious,dubious lube
head,concrete,good,good head
head,concrete,recent,recent head
head,concrete,typical,typical head
head,concrete,possible,possible head
head,concrete,alleged,alleged head
head,concrete,dubious,dubious head
drapery,concrete,good,good drapery
drapery,concrete,recent,recent drapery
drapery,concrete,typical,typical drapery
drapery,concrete,possible,possible drapery
drapery,concrete,alleged,alleged drapery
drapery,concrete,dubious,dubious drapery
parfait,concrete,good,good parfait
parfait,concrete,recent,recent parfait
parfait,concrete,typical,typical parfait
parfait,concrete,possible,possible parfait
parfait,concrete,alleged,alleged parfait
parfait,concrete,dubious,dubious parfait
haircut,concrete,good,good haircut
haircut,concrete,recent,recent haircut
haircut,concrete,typical,typical haircut
haircut,concrete,possible,possible haircut
haircut,concrete,alleged,alleged haircut
haircut,concrete,dubious,dubious haircut
bowler,concrete,good,good bowler
bowler,concrete,recent,recent bowler
bowler,concrete,typical,typical bowler
bowler,concrete,possible,possible bowler
bowler,concrete,alleged,alleged bowler
bowler,concrete,dubious,dubious bowler
deli,concrete,good,good deli
deli,concrete,recent,recent deli
deli,concrete,typical,typical deli
deli,concrete,possible,possible deli
deli,concrete,alleged,alleged deli
deli,concrete,dubious,dubious deli
garbage,concrete,good,good garbage
garbage,concrete,recent,recent garbage
garbage,concrete,typical,typical garbage
garbage,concrete,possible,possible garbage
garbage,concrete,alleged,alleged garbage
garbage,concrete,dubious,dubious garbage
cowhide,concrete,good,good cowhide
cowhide,concrete,recent,recent cowhide
cowhide,concrete,typical,typical cowhide
cowhide,concrete,possible,possible cowhide
cowhide,concrete,alleged,alleged cowhide
cowhide,concrete,dubious,dubious cowhide
quiz,concrete,good,good quiz
quiz,concrete,recent,recent quiz
quiz,concrete,typical,typical quiz
quiz,concrete,possible,possible quiz
quiz,concrete,alleged,alleged quiz
quiz,concrete,dubious,dubious quiz
brim,concrete,good,good brim
brim,concrete,recent,recent brim
brim,concrete,typical,typical brim
brim,concrete,possible,possible brim
brim,concrete,alleged,alleged brim
brim,concrete,dubious,dubious brim
gypsy,concrete,good,good gypsy
gypsy,concrete,recent,recent gypsy
gypsy,concrete,typical,typical gypsy
gypsy,concrete,possible,possible gypsy
gypsy,concrete,alleged,alleged gypsy
gypsy,concrete,dubious,dubious gypsy
bubble,concrete,good,good bubble
bubble,concrete,recent,recent bubble
bubble,concrete,typical,typical bubble
bubble,concrete,possible,possible bubble
bubble,concrete,alleged,alleged bubble
bubble,concrete,dubious,dubious bubble
flare,concrete,good,good flare
flare,concrete,recent,recent flare
flare,concrete,typical,typical flare
flare,concrete,possible,possible flare
flare,concrete,alleged,alleged flare
flare,concrete,dubious,dubious flare
guava,concrete,good,good guava
guava,concrete,recent,recent guava
guava,concrete,typical,typical guava
guava,concrete,possible,possible guava
guava,concrete,alleged,alleged guava
guava,concrete,dubious,dubious guava
judo,concrete,good,good judo
judo,concrete,recent,recent judo
judo,concrete,typical,typical judo
judo,concrete,possible,possible judo
judo,concrete,alleged,alleged judo
judo,concrete,dubious,dubious judo
thorax,concrete,good,good thorax
thorax,concrete,recent,recent thorax
thorax,concrete,typical,typical thorax
thorax,concrete,possible,possible thorax
thorax,concrete,alleged,alleged thorax
thorax,concrete,dubious,dubious thorax
parsnip,concrete,good,good parsnip
parsnip,concrete,recent,recent parsnip
parsnip,concrete,typical,typical parsnip
parsnip,concrete,possible,possible parsnip
parsnip,concrete,alleged,alleged parsnip
parsnip,concrete,dubious,dubious parsnip
wound,concrete,good,good wound
wound,concrete,recent,recent wound
wound,concrete,typical,typical wound
wound,concrete,possible,possible wound
wound,concrete,alleged,alleged wound
wound,concrete,dubious,dubious wound
maze,concrete,good,good maze
maze,concrete,recent,recent maze
maze,concrete,typical,typical maze
maze,concrete,possible,possible maze
maze,concrete,alleged,alleged maze
maze,concrete,dubious,dubious maze
citizen,concrete,good,good citizen
citizen,concrete,recent,recent citizen
citizen,concrete,typical,typical citizen
citizen,concrete,possible,possible citizen
citizen,concrete,alleged,alleged citizen
citizen,concrete,dubious,dubious citizen
tibia,concrete,good,good tibia
tibia,concrete,recent,recent tibia
tibia,concrete,typical,typical tibia
tibia,concrete,possible,possible tibia
tibia,concrete,alleged,alleged tibia
tibia,concrete,dubious,dubious tibia
smile,concrete,good,good smile
smile,concrete,recent,recent smile
smile,concrete,typical,typical smile
smile,concrete,possible,possible smile
smile,concrete,alleged,alleged smile
smile,concrete,dubious,dubious smile
pint,concrete,good,good pint
pint,concrete,recent,recent pint
pint,concrete,typical,typical pint
pint,concrete,possible,possible pint
pint,concrete,alleged,alleged pint
pint,concrete,dubious,dubious pint
mesh,concrete,good,good mesh
mesh,concrete,recent,recent mesh
mesh,concrete,typical,typical mesh
mesh,concrete,possible,possible mesh
mesh,concrete,alleged,alleged mesh
mesh,concrete,dubious,dubious mesh
cricket,concrete,good,good cricket
cricket,concrete,recent,recent cricket
cricket,concrete,typical,typical cricket
cricket,concrete,possible,possible cricket
cricket,concrete,alleged,alleged cricket
cricket,concrete,dubious,dubious cricket
mascara,concrete,good,good mascara
mascara,concrete,recent,recent mascara
mascara,concrete,typical,typical mascara
mascara,concrete,possible,possible mascara
mascara,concrete,alleged,alleged mascara
mascara,concrete,dubious,dubious mascara
rifle,concrete,good,good rifle
rifle,concrete,recent,recent rifle
rifle,concrete,typical,typical rifle
rifle,concrete,possible,possible rifle
rifle,concrete,alleged,alleged rifle
rifle,concrete,dubious,dubious rifle
cookout,concrete,good,good cookout
cookout,concrete,recent,recent cookout
cookout,concrete,typical,typical cookout
cookout,concrete,possible,possible cookout
cookout,concrete,alleged,alleged cookout
cookout,concrete,dubious,dubious cookout
kick,concrete,good,good kick
kick,concrete,recent,recent kick
kick,concrete,typical,typical kick
kick,concrete,possible,possible kick
kick,concrete,alleged,alleged kick
kick,concrete,dubious,dubious kick
notch,concrete,good,good notch
notch,concrete,recent,recent notch
notch,concrete,typical,typical notch
notch,concrete,possible,possible notch
notch,concrete,alleged,alleged notch
notch,concrete,dubious,dubious notch
planet,concrete,good,good planet
planet,concrete,recent,recent planet
planet,concrete,typical,typical planet
planet,concrete,possible,possible planet
planet,concrete,alleged,alleged planet
planet,concrete,dubious,dubious planet
boa,concrete,good,good boa
boa,concrete,recent,recent boa
boa,concrete,typical,typical boa
boa,concrete,possible,possible boa
boa,concrete,alleged,alleged boa
boa,concrete,dubious,dubious boa
lagoon,concrete,good,good lagoon
lagoon,concrete,recent,recent lagoon
lagoon,concrete,typical,typical lagoon
lagoon,concrete,possible,possible lagoon
lagoon,concrete,alleged,alleged lagoon
lagoon,concrete,dubious,dubious lagoon
bowel,concrete,good,good bowel
bowel,concrete,recent,recent bowel
bowel,concrete,typical,typical bowel
bowel,concrete,possible,possible bowel
bowel,concrete,alleged,alleged bowel
bowel,concrete,dubious,dubious bowel
lark,concrete,good,good lark
lark,concrete,recent,recent lark
lark,concrete,typical,typical lark
lark,concrete,possible,possible lark
lark,concrete,alleged,alleged lark
lark,concrete,dubious,dubious lark
spa,concrete,good,good spa
spa,concrete,recent,recent spa
spa,concrete,typical,typical spa
spa,concrete,possible,possible spa
spa,concrete,alleged,alleged spa
spa,concrete,dubious,dubious spa
gavel,concrete,good,good gavel
gavel,concrete,recent,recent gavel
gavel,concrete,typical,typical gavel
gavel,concrete,possible,possible gavel
gavel,concrete,alleged,alleged gavel
gavel,concrete,dubious,dubious gavel
footman,concrete,good,good footman
footman,concrete,recent,recent footman
footman,concrete,typical,typical footman
footman,concrete,possible,possible footman
footman,concrete,alleged,alleged footman
footman,concrete,dubious,dubious footman
boat,concrete,good,good boat
boat,concrete,recent,recent boat
boat,concrete,typical,typical boat
boat,concrete,possible,possible boat
boat,concrete,alleged,alleged boat
boat,concrete,dubious,dubious boat
fritter,concrete,good,good fritter
fritter,concrete,recent,recent fritter
fritter,concrete,typical,typical fritter
fritter,concrete,possible,possible fritter
fritter,concrete,alleged,alleged fritter
fritter,concrete,dubious,dubious fritter
bunny,concrete,good,good bunny
bunny,concrete,recent,recent bunny
bunny,concrete,typical,typical bunny
bunny,concrete,possible,possible bunny
bunny,concrete,alleged,alleged bunny
bunny,concrete,dubious,dubious bunny
manor,concrete,good,good manor
manor,concrete,recent,recent manor
manor,concrete,typical,typical manor
manor,concrete,possible,possible manor
manor,concrete,alleged,alleged manor
manor,concrete,dubious,dubious manor
knuckle,concrete,good,good knuckle
knuckle,concrete,recent,recent knuckle
knuckle,concrete,typical,typical knuckle
knuckle,concrete,possible,possible knuckle
knuckle,concrete,alleged,alleged knuckle
knuckle,concrete,dubious,dubious knuckle
pretzel,concrete,good,good pretzel
pretzel,concrete,recent,recent pretzel
pretzel,concrete,typical,typical pretzel
pretzel,concrete,possible,possible pretzel
pretzel,concrete,alleged,alleged pretzel
pretzel,concrete,dubious,dubious pretzel
mussel,concrete,good,good mussel
mussel,concrete,recent,recent mussel
mussel,concrete,typical,typical mussel
mussel,concrete,possible,possible mussel
mussel,concrete,alleged,alleged mussel
mussel,concrete,dubious,dubious mussel
pageant,concrete,good,good pageant
pageant,concrete,recent,recent pageant
pageant,concrete,typical,typical pageant
pageant,concrete,possible,possible pageant
pageant,concrete,alleged,alleged pageant
pageant,concrete,dubious,dubious pageant
ricotta,concrete,good,good ricotta
ricotta,concrete,recent,recent ricotta
ricotta,concrete,typical,typical ricotta
ricotta,concrete,possible,possible ricotta
ricotta,concrete,alleged,alleged ricotta
ricotta,concrete,dubious,dubious ricotta
shroud,concrete,good,good shroud
shroud,concrete,recent,recent shroud
shroud,concrete,typical,typical shroud
shroud,concrete,possible,possible shroud
shroud,concrete,alleged,alleged shroud
shroud,concrete,dubious,dubious shroud
archway,concrete,good,good archway
archway,concrete,recent,recent archway
archway,concrete,typical,typical archway
archway,concrete,possible,possible archway
archway,concrete,alleged,alleged archway
archway,concrete,dubious,dubious archway
mulch,concrete,good,good mulch
mulch,concrete,recent,recent mulch
mulch,concrete,typical,typical mulch
mulch,concrete,possible,possible mulch
mulch,concrete,alleged,alleged mulch
mulch,concrete,dubious,dubious mulch
serum,concrete,good,good serum
serum,concrete,recent,recent serum
serum,concrete,typical,typical serum
serum,concrete,possible,possible serum
serum,concrete,alleged,alleged serum
serum,concrete,dubious,dubious serum
satin,concrete,good,good satin
satin,concrete,recent,recent satin
satin,concrete,typical,typical satin
satin,concrete,possible,possible satin
satin,concrete,alleged,alleged satin
satin,concrete,dubious,dubious satin
grave,concrete,good,good grave
grave,concrete,recent,recent grave
grave,concrete,typical,typical grave
grave,concrete,possible,possible grave
grave,concrete,alleged,alleged grave
grave,concrete,dubious,dubious grave
hemp,concrete,good,good hemp
hemp,concrete,recent,recent hemp
hemp,concrete,typical,typical hemp
hemp,concrete,possible,possible hemp
hemp,concrete,alleged,alleged hemp
hemp,concrete,dubious,dubious hemp
pendant,concrete,good,good pendant
pendant,concrete,recent,recent pendant
pendant,concrete,typical,typical pendant
pendant,concrete,possible,possible pendant
pendant,concrete,alleged,alleged pendant
pendant,concrete,dubious,dubious pendant
dragon,concrete,good,good dragon
dragon,concrete,recent,recent dragon
dragon,concrete,typical,typical dragon
dragon,concrete,possible,possible dragon
dragon,concrete,alleged,alleged dragon
dragon,concrete,dubious,dubious dragon
gecko,concrete,good,good gecko
gecko,concrete,recent,recent gecko
gecko,concrete,typical,typical gecko
gecko,concrete,possible,possible gecko
gecko,concrete,alleged,alleged gecko
gecko,concrete,dubious,dubious gecko
crypt,concrete,good,good crypt
crypt,concrete,recent,recent crypt
crypt,concrete,typical,typical crypt
crypt,concrete,possible,possible crypt
crypt,concrete,alleged,alleged crypt
crypt,concrete,dubious,dubious crypt
rotator,concrete,good,good rotator
rotator,concrete,recent,recent rotator
rotator,concrete,typical,typical rotator
rotator,concrete,possible,possible rotator
rotator,concrete,alleged,alleged rotator
rotator,concrete,dubious,dubious rotator
shrew,concrete,good,good shrew
shrew,concrete,recent,recent shrew
shrew,concrete,typical,typical shrew
shrew,concrete,possible,possible shrew
shrew,concrete,alleged,alleged shrew
shrew,concrete,dubious,dubious shrew
wink,concrete,good,good wink
wink,concrete,recent,recent wink
wink,concrete,typical,typical wink
wink,concrete,possible,possible wink
wink,concrete,alleged,alleged wink
wink,concrete,dubious,dubious wink
author,concrete,good,good author
author,concrete,recent,recent author
author,concrete,typical,typical author
author,concrete,possible,possible author
author,concrete,alleged,alleged author
author,concrete,dubious,dubious author
wiper,concrete,good,good wiper
wiper,concrete,recent,recent wiper
wiper,concrete,typical,typical wiper
wiper,concrete,possible,possible wiper
wiper,concrete,alleged,alleged wiper
wiper,concrete,dubious,dubious wiper
giblet,concrete,good,good giblet
giblet,concrete,recent,recent giblet
giblet,concrete,typical,typical giblet
giblet,concrete,possible,possible giblet
giblet,concrete,alleged,alleged giblet
giblet,concrete,dubious,dubious giblet
gamer,concrete,good,good gamer
gamer,concrete,recent,recent gamer
gamer,concrete,typical,typical gamer
gamer,concrete,possible,possible gamer
gamer,concrete,alleged,alleged gamer
gamer,concrete,dubious,dubious gamer
kelp,concrete,good,good kelp
kelp,concrete,recent,recent kelp
kelp,concrete,typical,typical kelp
kelp,concrete,possible,possible kelp
kelp,concrete,alleged,alleged kelp
kelp,concrete,dubious,dubious kelp
scale,concrete,good,good scale
scale,concrete,recent,recent scale
scale,concrete,typical,typical scale
scale,concrete,possible,possible scale
scale,concrete,alleged,alleged scale
scale,concrete,dubious,dubious scale
galley,concrete,good,good galley
galley,concrete,recent,recent galley
galley,concrete,typical,typical galley
galley,concrete,possible,possible galley
galley,concrete,alleged,alleged galley
galley,concrete,dubious,dubious galley
buttock,concrete,good,good buttock
buttock,concrete,recent,recent buttock
buttock,concrete,typical,typical buttock
buttock,concrete,possible,possible buttock
buttock,concrete,alleged,alleged buttock
buttock,concrete,dubious,dubious buttock
scuba,concrete,good,good scuba
scuba,concrete,recent,recent scuba
scuba,concrete,typical,typical scuba
scuba,concrete,possible,possible scuba
scuba,concrete,alleged,alleged scuba
scuba,concrete,dubious,dubious scuba
goose,concrete,good,good goose
goose,concrete,recent,recent goose
goose,concrete,typical,typical goose
goose,concrete,possible,possible goose
goose,concrete,alleged,alleged goose
goose,concrete,dubious,dubious goose
clone,concrete,good,good clone
clone,concrete,recent,recent clone
clone,concrete,typical,typical clone
clone,concrete,possible,possible clone
clone,concrete,alleged,alleged clone
clone,concrete,dubious,dubious clone
nylon,concrete,good,good nylon
nylon,concrete,recent,recent nylon
nylon,concrete,typical,typical nylon
nylon,concrete,possible,possible nylon
nylon,concrete,alleged,alleged nylon
nylon,concrete,dubious,dubious nylon
limo,concrete,good,good limo
limo,concrete,recent,recent limo
limo,concrete,typical,typical limo
limo,concrete,possible,possible limo
limo,concrete,alleged,alleged limo
limo,concrete,dubious,dubious limo
toolkit,concrete,good,good toolkit
toolkit,concrete,recent,recent toolkit
toolkit,concrete,typical,typical toolkit
toolkit,concrete,possible,possible toolkit
toolkit,concrete,alleged,alleged toolkit
toolkit,concrete,dubious,dubious toolkit
glass,concrete,good,good glass
glass,concrete,recent,recent glass
glass,concrete,typical,typical glass
glass,concrete,possible,possible glass
glass,concrete,alleged,alleged glass
glass,concrete,dubious,dubious glass
beacon,concrete,good,good beacon
beacon,concrete,recent,recent beacon
beacon,concrete,typical,typical beacon
beacon,concrete,possible,possible beacon
beacon,concrete,alleged,alleged beacon
beacon,concrete,dubious,dubious beacon
worker,concrete,good,good worker
worker,concrete,recent,recent worker
worker,concrete,typical,typical worker
worker,concrete,possible,possible worker
worker,concrete,alleged,alleged worker
worker,concrete,dubious,dubious worker
brandy,concrete,good,good brandy
brandy,concrete,recent,recent brandy
brandy,concrete,typical,typical brandy
brandy,concrete,possible,possible brandy
brandy,concrete,alleged,alleged brandy
brandy,concrete,dubious,dubious brandy
page,concrete,good,good page
page,concrete,recent,recent page
page,concrete,typical,typical page
page,concrete,possible,possible page
page,concrete,alleged,alleged page
page,concrete,dubious,dubious page
pupil,concrete,good,good pupil
pupil,concrete,recent,recent pupil
pupil,concrete,typical,typical pupil
pupil,concrete,possible,possible pupil
pupil,concrete,alleged,alleged pupil
pupil,concrete,dubious,dubious pupil
server,concrete,good,good server
server,concrete,recent,recent server
server,concrete,typical,typical server
server,concrete,possible,possible server
