token,rating-human,specificity1,specificity2,specificity3,wn_type
mantel,4.64,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
doll,5.0,2.721277077560879,2.6886698175041435,1.8571428571428572,concrete
bar,4.67,2.979116377190034,2.9698898830268865,2.142857142857143,concrete
backpack,4.96,3.0987952340593092,3.100421171387823,2.142857142857143,concrete
porcupine,5.0,3.317437177078572,3.3388894794902413,2.7142857142857144,concrete
mirage,3.32,3.0987952340593092,3.100421171387823,2.142857142857143,concrete
marsupial,4.55,2.9892991148663643,2.9809959873414327,2.571428571428571,concrete
oregano,4.81,3.3703959149079794,3.396650494750662,2.428571428571429,concrete
rotisserie,4.23,3.5514630354737595,3.5941367103258877,2.7142857142857144,concrete
osmosis,3.48,2.8271945532106395,2.8041918480249843,1.7142857142857144,concrete
squirrel,4.89,3.1363700565127925,3.1414032639150156,2.7142857142857144,concrete
mango,5.0,3.5514630354737595,3.5941367103258877,2.7142857142857144,concrete
decay,3.89,2.5555938723619693,2.5079625246621458,1.5714285714285714,concrete
airbrush,4.45,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
snow,4.85,3.1363700565127925,3.1414032639150156,2.2857142857142856,concrete
dandelion,5.0,3.1363700565127925,3.1414032639150156,2.2857142857142856,concrete
dustbin,4.54,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
chardonnay,4.56,3.4609294751908695,3.495393602538275,2.571428571428571,concrete
mutant,4.2,2.8647693756641224,2.8451739405521765,1.8571428571428572,concrete
delicatessen,4.28,3.008261673776419,3.00167806360021,1.8571428571428572,concrete
cardiograph,4.17,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
seafood,4.83,2.2913387915103582,2.21974489740664,1.7142857142857144,concrete
eyeglasses,4.92,3.0458364962299025,3.0426601561274027,2.2857142857142856,concrete
silverfish,4.77,3.4609294751908695,3.495393602538275,2.571428571428571,concrete
lances,3.59,3.0987952340593092,3.100421171387823,2.2857142857142856,concrete
fuel,4.3,2.3215680139667825,2.2527152938264994,1.5714285714285714,concrete
leviathan,3.5,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
anthology,3.07,3.1893287943421993,3.1991642791754358,2.428571428571429,concrete
thermostat,4.87,3.2269036167956826,3.2401463717026284,2.428571428571429,concrete
lamplight,4.8,3.4609294751908695,3.495393602538275,2.571428571428571,concrete
webbing,4.04,2.8271945532106395,2.8041918480249843,1.5714285714285714,concrete
clothespin,4.41,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
tourniquet,4.5,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
floodlight,4.67,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
recorder,4.43,2.7856005730631974,2.7588261421848443,2.0,concrete
adultery,2.79,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
tuna,4.89,3.4609294751908695,3.495393602538275,2.571428571428571,concrete
shirtfront,4.43,3.0458364962299025,3.0426601561274027,2.142857142857143,concrete
tuba,4.86,3.317437177078572,3.3388894794902413,2.571428571428571,concrete
hazard,3.67,2.5931686948154526,2.5489446171893384,1.5714285714285714,concrete
whatnot,1.92,2.8271945532106395,2.8041918480249843,1.5714285714285714,concrete
braid,4.38,3.1363700565127925,3.1414032639150156,2.2857142857142856,concrete
article,4.33,3.317437177078572,3.3388894794902413,2.857142857142857,concrete
mincemeat,4.36,3.0987952340593092,3.100421171387823,2.0,concrete
bedding,4.61,2.728742670512403,2.6968123874763785,2.0,concrete
pickax,4.72,3.3703959149079794,3.396650494750662,2.571428571428571,concrete
washbowl,4.76,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
origin,2.03,2.6045334524974173,2.5613399266096186,1.7142857142857144,concrete
wind,3.93,2.6589849187772363,2.6207290303557667,2.142857142857143,concrete
eyebrow,4.85,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
roughage,3.61,2.9177281134935296,2.902934955812597,1.8571428571428572,concrete
chimp,4.96,3.612851299170264,3.661091637540177,3.142857142857143,concrete
cassette,4.6,2.9553029359470124,2.94391704833979,2.0,concrete
barbell,4.79,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
cellar,4.68,3.008261673776419,3.00167806360021,2.0,concrete
gazette,4.15,3.3703959149079794,3.396650494750662,2.428571428571429,concrete
butterscotch,4.58,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
manifold,3.58,3.1893287943421993,3.1991642791754358,2.428571428571429,concrete
duck,4.86,3.147734814194757,3.153798573335296,2.857142857142857,concrete
multiprocessing,2.17,2.9177281134935296,2.902934955812597,1.7142857142857144,concrete
inhibitor,2.81,2.4359150154926943,2.3774312363012093,1.5714285714285714,concrete
toiletry,4.52,2.477917798211456,2.423242814780541,1.8571428571428572,concrete
window,4.86,2.7689039600378695,2.7406154868783372,2.142857142857143,concrete
twister,4.44,3.2269036167956826,3.2401463717026284,2.428571428571429,concrete
transit,3.61,3.1893287943421993,3.1991642791754358,2.2857142857142856,concrete
molecule,3.27,2.0506493833296497,1.9572298687176726,1.5714285714285714,concrete
airliner,4.45,3.3703959149079794,3.396650494750662,2.7142857142857144,concrete
derivation,1.86,3.008261673776419,3.00167806360021,1.8571428571428572,concrete
copier,4.72,2.9177281134935296,2.902934955812597,2.142857142857143,concrete
sachet,4.64,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
sack,4.84,3.0458364962299025,3.0426601561274027,2.142857142857143,concrete
star,4.69,2.630743517277989,2.58992670971653,1.8571428571428572,concrete
overpass,4.11,3.0987952340593092,3.100421171387823,2.0,concrete
telephoto,3.93,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
thermos,4.67,3.4609294751908695,3.495393602538275,2.571428571428571,concrete
herbs,4.79,2.281717217434327,2.209250842791507,2.142857142857143,concrete
brake,4.44,2.888582816907144,2.8711467752392736,2.142857142857143,concrete
grillwork,4.32,3.0987952340593092,3.100421171387823,2.0,concrete
exit,3.93,2.9177281134935296,2.902934955812597,1.8571428571428572,concrete
wheel,4.86,2.8918896345038756,2.8747534537526587,2.428571428571429,concrete
flashbulb,4.75,3.4609294751908695,3.495393602538275,2.571428571428571,concrete
cheeseburger,4.93,3.3703959149079794,3.396650494750662,2.428571428571429,concrete
snowdrift,4.78,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
scuff,3.68,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
warhorse,4.21,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
chimpanzee,4.96,3.612851299170264,3.661091637540177,3.142857142857143,concrete
stuffing,4.57,2.9177281134935296,2.902934955812597,2.0,concrete
bioelectricity,2.58,2.7742358153812323,2.746430832764564,1.8571428571428572,concrete
cabana,4.79,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
ellipsis,3.44,3.008261673776419,3.00167806360021,1.8571428571428572,concrete
lentil,4.48,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
fishnet,4.72,3.008261673776419,3.00167806360021,2.2857142857142856,concrete
headphone,4.93,3.1893287943421993,3.1991642791754358,2.428571428571429,concrete
scraper,4.23,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
pipe,4.88,3.008261673776419,3.00167806360021,2.2857142857142856,concrete
trombone,4.9,3.2798623546250893,3.297907386963049,2.428571428571429,concrete
linguini,4.56,3.008261673776419,3.00167806360021,1.8571428571428572,concrete
moleskin,4.21,3.008261673776419,3.00167806360021,1.8571428571428572,concrete
placenta,4.79,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
pencil,4.88,3.0458364962299025,3.0426601561274027,2.142857142857143,concrete
stirrup,4.9,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
catacomb,4.67,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
washbasin,4.74,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
paddock,4.22,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
freckles,4.64,3.3703959149079794,3.396650494750662,2.428571428571429,concrete
manhole,4.7,3.0987952340593092,3.100421171387823,2.0,concrete
talisman,4.15,2.7366609929277494,2.7054487402373715,1.5714285714285714,concrete
keepsake,3.89,2.5555938723619693,2.5079625246621458,1.4285714285714286,concrete
cot,4.67,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
oscilloscope,4.63,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
shrub,4.92,2.4095751450332856,2.3487028767868914,2.2857142857142856,concrete
glowworm,4.93,3.5514630354737595,3.5941367103258877,2.7142857142857144,concrete
sandstorm,4.63,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
clarinet,4.92,3.3703959149079794,3.396650494750662,2.7142857142857144,concrete
puree,4.16,3.008261673776419,3.00167806360021,1.8571428571428572,concrete
pineapple,4.94,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
ape,4.79,3.1814104719268532,3.1905279264144433,2.7142857142857144,concrete
incubator,4.65,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
rattler,4.5,3.3975161737386794,3.4262300079511436,3.0,concrete
barnacle,4.92,3.2269036167956826,3.2401463717026284,2.428571428571429,concrete
windscreen,4.59,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
brainwave,3.3,2.888582816907144,2.8711467752392736,2.0,concrete
flannels,4.57,3.008261673776419,3.00167806360021,1.8571428571428572,concrete
pixel,3.93,2.9177281134935296,2.902934955812597,1.7142857142857144,concrete
wildflower,4.69,2.8145604724355753,2.7904121137931632,2.571428571428571,concrete
ovary,4.18,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
mouse,4.83,3.2269036167956826,3.2401463717026284,2.7142857142857144,concrete
scoreboard,4.9,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
poinsettia,4.92,3.4609294751908695,3.495393602538275,2.571428571428571,concrete
poltergeist,2.92,3.0987952340593092,3.100421171387823,2.0,concrete
cuttlefish,4.23,3.4609294751908695,3.495393602538275,2.571428571428571,concrete
footage,3.42,3.3703959149079794,3.396650494750662,2.428571428571429,concrete
regeneration,2.92,2.7366609929277494,2.7054487402373715,1.5714285714285714,concrete
chairlift,4.52,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
axle,4.5,3.0458364962299025,3.0426601561274027,2.2857142857142856,concrete
weenie,4.22,3.008261673776419,3.00167806360021,2.0,concrete
carp,4.62,3.0987952340593092,3.100421171387823,2.0,concrete
outtake,2.74,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
roofing,4.66,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
toucan,4.66,3.3703959149079794,3.396650494750662,2.571428571428571,concrete
retardant,2.67,2.8271945532106395,2.8041918480249843,1.5714285714285714,concrete
overload,2.69,3.0987952340593092,3.100421171387823,2.0,concrete
chatterbox,3.04,3.641996595756649,3.6928798181135005,2.857142857142857,concrete
dragonfly,4.83,3.4609294751908695,3.495393602538275,2.571428571428571,concrete
cabbage,4.75,2.9177281134935296,2.902934955812597,2.142857142857143,concrete
electrode,3.48,2.8761341333460875,2.857569249972457,2.142857142857143,concrete
switchboard,4.61,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
roadrunner,4.64,3.5514630354737595,3.5941367103258877,2.7142857142857144,concrete
inlay,3.41,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
torch,4.76,3.1893287943421993,3.1991642791754358,2.2857142857142856,concrete
flake,4.36,2.9177281134935296,2.902934955812597,1.7142857142857144,concrete
drawbridge,4.89,3.0987952340593092,3.100421171387823,2.0,concrete
creamer,4.66,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
fume,3.58,3.0458364962299025,3.0426601561274027,2.142857142857143,concrete
headquarters,4.14,3.1893287943421993,3.1991642791754358,2.2857142857142856,concrete
coffin,4.86,3.0458364962299025,3.0426601561274027,2.142857142857143,concrete
flute,5.0,3.1893287943421993,3.1991642791754358,2.428571428571429,concrete
dam,4.88,3.0458364962299025,3.0426601561274027,2.142857142857143,concrete
deflector,3.5,3.0987952340593092,3.100421171387823,2.0,concrete
sirloin,4.66,3.0987952340593092,3.100421171387823,2.0,concrete
fountain,4.77,2.9177281134935296,2.902934955812597,1.8571428571428572,concrete
headstone,4.39,3.008261673776419,3.00167806360021,2.0,concrete
light,4.21,2.8918896345038756,2.8747534537526587,2.428571428571429,concrete
honeysuckle,4.48,3.008261673776419,3.00167806360021,2.428571428571429,concrete
pistol,4.89,3.116236078832571,3.1194435450838425,2.571428571428571,concrete
waffle,4.71,3.008261673776419,3.00167806360021,2.0,concrete
jail,4.83,3.116236078832571,3.1194435450838425,2.428571428571429,concrete
inkpad,4.79,3.008261673776419,3.00167806360021,1.8571428571428572,concrete
lithograph,4.39,3.1893287943421993,3.1991642791754358,2.2857142857142856,concrete
fluoroscope,4.65,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
strangler,3.77,3.0987952340593092,3.100421171387823,2.142857142857143,concrete
pilothouse,4.37,3.1893287943421993,3.1991642791754358,2.2857142857142856,concrete
cockatoo,4.73,3.317437177078572,3.3388894794902413,2.571428571428571,concrete
headphones,4.79,3.1893287943421993,3.1991642791754358,2.428571428571429,concrete
roost,3.29,3.0987952340593092,3.100421171387823,2.142857142857143,concrete
dowel,4.27,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
dish,4.9,3.057201253911867,3.055055465547683,2.571428571428571,concrete
enchilada,4.67,3.0987952340593092,3.100421171387823,2.0,concrete
satinwood,4.48,3.5514630354737595,3.5941367103258877,2.7142857142857144,concrete
hailstorm,4.66,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
compilation,2.81,3.3703959149079794,3.396650494750662,2.428571428571429,concrete
cannonball,4.8,3.3703959149079794,3.396650494750662,2.428571428571429,concrete
hummus,4.62,3.3703959149079794,3.396650494750662,2.428571428571429,concrete
pickle,4.64,3.1363700565127925,3.1414032639150156,2.428571428571429,concrete
gusher,3.56,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
blueberry,4.96,3.0166911996525707,3.010871975554079,2.428571428571429,concrete
meal,4.62,2.5515747146770638,2.503578911349198,1.8571428571428572,concrete
sardine,5.0,3.0987952340593092,3.100421171387823,2.0,concrete
crocodile,4.83,3.3703959149079794,3.396650494750662,2.7142857142857144,concrete
croaker,3.57,3.0987952340593092,3.100421171387823,2.0,concrete
winterberry,4.62,3.5514630354737595,3.5941367103258877,2.7142857142857144,concrete
dimmer,3.46,3.3703959149079794,3.396650494750662,2.428571428571429,concrete
homeroom,4.3,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
container,4.85,2.1444722281812254,2.0595605320987236,1.8571428571428572,concrete
tray,4.74,2.9023441981266593,2.886156033079369,2.142857142857143,concrete
circuitry,3.85,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
snapshot,4.68,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
aisle,4.35,3.0987952340593092,3.100421171387823,2.0,concrete
flowerpot,4.81,3.008261673776419,3.00167806360021,2.0,concrete
gear,4.28,3.1363700565127925,3.1414032639150156,2.571428571428571,concrete
kitchenware,4.68,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
moon,4.9,3.008261673776419,3.00167806360021,1.8571428571428572,concrete
nougat,4.21,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
podium,4.89,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
arsenal,3.86,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
barbwire,4.68,3.2798623546250893,3.297907386963049,2.428571428571429,concrete
pocket,4.68,3.025702518549681,3.0207004372962296,2.2857142857142856,concrete
aphid,4.76,3.2507170580387044,3.266119206389725,2.7142857142857144,concrete
multiplex,3.78,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
fryer,4.5,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
accelerator,4.32,3.3703959149079794,3.396650494750662,2.428571428571429,concrete
traps,4.15,2.6950670127803074,2.6600830343972315,2.0,concrete
cinnamon,4.85,3.0987952340593092,3.100421171387823,2.0,concrete
computer,4.93,2.732641835242844,2.7010651269244237,2.142857142857143,concrete
haze,4.04,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
carnation,3.93,3.5514630354737595,3.5941367103258877,2.7142857142857144,concrete
ropes,4.78,2.5777847794576356,2.5321656944561095,1.8571428571428572,concrete
sieve,4.59,3.1363700565127925,3.1414032639150156,2.2857142857142856,concrete
mandolin,4.76,3.2798623546250893,3.297907386963049,2.428571428571429,concrete
effect,1.8,2.3705075941112836,2.3060926957739722,1.5714285714285714,concrete
kibble,4.29,3.0987952340593092,3.100421171387823,2.0,concrete
analyzer,2.56,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
glasses,4.9,3.0458364962299025,3.0426601561274027,2.2857142857142856,concrete
footpath,4.79,3.0987952340593092,3.100421171387823,2.0,concrete
pan,4.86,3.0458364962299025,3.0426601561274027,2.428571428571429,concrete
bedchamber,4.43,2.8647693756641224,2.8451739405521765,2.142857142857143,concrete
nosedive,3.48,2.9177281134935296,2.902934955812597,1.7142857142857144,concrete
bull,4.85,3.9135972766053198,3.989109141476339,3.4285714285714284,concrete
mill,4.72,2.798049256624254,2.772403667451661,2.142857142857143,concrete
sheathing,3.36,3.0987952340593092,3.100421171387823,2.0,concrete
neckband,4.77,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
scarecrow,4.68,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
sunglasses,4.83,3.3703959149079794,3.396650494750662,2.428571428571429,concrete
eclair,4.75,3.1893287943421993,3.1991642791754358,2.2857142857142856,concrete
basement,4.89,3.008261673776419,3.00167806360021,2.0,concrete
oxygenation,2.43,2.8271945532106395,2.8041918480249843,1.5714285714285714,concrete
synergy,1.48,2.7366609929277494,2.7054487402373715,1.5714285714285714,concrete
gunpoint,3.48,3.0987952340593092,3.100421171387823,2.0,concrete
meteor,4.96,2.754101837701011,2.724471113933391,1.8571428571428572,concrete
angelfish,5.0,3.9135972766053198,3.989109141476339,3.2857142857142856,concrete
ingredient,3.84,2.7742358153812323,2.746430832764564,1.7142857142857144,concrete
fulcrum,3.86,3.3703959149079794,3.396650494750662,2.428571428571429,concrete
rig,4.0,3.0458364962299025,3.0426601561274027,2.142857142857143,concrete
skittle,4.12,3.3703959149079794,3.396650494750662,2.428571428571429,concrete
dregs,3.6,2.6837022550983427,2.647687724976951,1.5714285714285714,concrete
breadboard,4.7,3.0987952340593092,3.100421171387823,2.0,concrete
starter,3.38,3.2269036167956826,3.2401463717026284,2.428571428571429,concrete
horizon,4.44,2.9177281134935296,2.902934955812597,1.7142857142857144,concrete
roadway,4.67,3.008261673776419,3.00167806360021,2.0,concrete
dogwood,4.85,3.1893287943421993,3.1991642791754358,2.571428571428571,concrete
checkpoint,3.62,3.0987952340593092,3.100421171387823,2.0,concrete
caribou,4.92,3.6795714182101324,3.7338619106406927,3.142857142857143,concrete
buckwheat,4.54,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
makeup,4.45,2.8647693756641224,2.8451739405521765,2.142857142857143,concrete
cocoon,4.83,2.9177281134935296,2.902934955812597,1.7142857142857144,concrete
fart,4.18,3.0987952340593092,3.100421171387823,2.0,concrete
feedbag,4.72,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
ganja,4.6,3.4609294751908695,3.495393602538275,2.571428571428571,concrete
bluegrass,3.52,3.3703959149079794,3.396650494750662,2.571428571428571,concrete
candlelight,4.48,3.4609294751908695,3.495393602538275,2.571428571428571,concrete
ventilator,4.04,3.0987952340593092,3.100421171387823,2.0,concrete
rye,4.74,3.4609294751908695,3.495393602538275,2.571428571428571,concrete
ingestion,3.12,2.477917798211456,2.423242814780541,1.7142857142857144,concrete
sidewall,4.91,3.0987952340593092,3.100421171387823,2.0,concrete
urination,4.32,2.8647693756641224,2.8451739405521765,2.0,concrete
cellblock,4.0,3.0987952340593092,3.100421171387823,2.142857142857143,concrete
airway,4.34,3.0696499374729243,3.0686329908144994,2.2857142857142856,concrete
screen,4.6,2.9177281134935296,2.902934955812597,1.8571428571428572,concrete
handrail,4.72,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
knuckles,4.87,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
waterfowl,4.43,2.9239987089152732,2.909774166355282,2.571428571428571,concrete
veal,4.75,2.9177281134935296,2.902934955812597,1.8571428571428572,concrete
quail,4.65,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
marshland,4.28,2.8271945532106395,2.8041918480249843,1.7142857142857144,concrete
honker,3.41,2.9177281134935296,2.902934955812597,1.7142857142857144,concrete
scorcher,3.08,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
flower,5.0,2.5673302158348523,2.520763115129399,2.428571428571429,concrete
keyboard,4.93,2.888582816907144,2.8711467752392736,2.0,concrete
microorganism,3.7,2.2809672881831107,2.208432910255909,1.8571428571428572,concrete
flashlight,5.0,3.2798623546250893,3.297907386963049,2.428571428571429,concrete
handhold,3.91,2.9177281134935296,2.902934955812597,1.7142857142857144,concrete
leech,4.33,3.2269036167956826,3.2401463717026284,2.428571428571429,concrete
regulator,3.43,2.9177281134935296,2.902934955812597,2.2857142857142856,concrete
buzzer,4.66,3.3703959149079794,3.396650494750662,2.571428571428571,concrete
reins,4.56,3.1363700565127925,3.1414032639150156,2.2857142857142856,concrete
canister,4.93,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
hilltop,4.76,3.0987952340593092,3.100421171387823,2.0,concrete
ornament,4.04,2.1794433966173212,2.0977028722820883,1.7142857142857144,concrete
carpeting,4.21,2.9177281134935296,2.902934955812597,2.2857142857142856,concrete
buttery,3.68,3.1893287943421993,3.1991642791754358,2.2857142857142856,concrete
hideaway,3.56,3.0987952340593092,3.100421171387823,2.0,concrete
footgear,4.55,2.484854595628142,2.430808638248682,1.8571428571428572,concrete
bullfrog,4.9,3.5514630354737595,3.5941367103258877,2.7142857142857144,concrete
photocopy,4.5,3.1893287943421993,3.1991642791754358,2.2857142857142856,concrete
ways,2.0,3.008261673776419,3.00167806360021,1.8571428571428572,concrete
stairway,4.83,2.6169821360584744,2.574917451876435,1.8571428571428572,concrete
glasswork,4.18,2.979116377190034,2.9698898830268865,2.142857142857143,concrete
chimney,5.0,3.0987952340593092,3.100421171387823,2.2857142857142856,concrete
monstrosity,2.4,3.008261673776419,3.00167806360021,2.0,concrete
mongrel,3.8,3.0987952340593092,3.100421171387823,2.0,concrete
urinal,4.6,3.0987952340593092,3.100421171387823,2.0,concrete
steamer,4.11,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
bassinet,4.71,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
scheduler,3.19,3.008261673776419,3.00167806360021,1.8571428571428572,concrete
applicator,4.26,2.9177281134935296,2.902934955812597,2.0,concrete
magazine,5.0,3.387836759681241,3.415672868446681,2.857142857142857,concrete
exerciser,4.3,2.8761341333460875,2.857569249972457,2.142857142857143,concrete
griddle,4.38,3.3703959149079794,3.396650494750662,2.428571428571429,concrete
detonator,4.76,3.0458364962299025,3.0426601561274027,2.142857142857143,concrete
cedar,4.83,3.2507170580387044,3.266119206389725,2.7142857142857144,concrete
ozone,3.5,2.9177281134935296,2.902934955812597,1.7142857142857144,concrete
wintergreen,4.03,3.0696499374729243,3.0686329908144994,2.2857142857142856,concrete
raspberry,4.93,3.1601834977558143,3.1673760986021122,2.571428571428571,concrete
backroom,4.5,3.008261673776419,3.00167806360021,1.8571428571428572,concrete
perch,4.1,3.0987952340593092,3.100421171387823,2.142857142857143,concrete
periodical,3.47,2.888582816907144,2.8711467752392736,2.2857142857142856,concrete
patio,4.89,3.008261673776419,3.00167806360021,2.0,concrete
journalism,2.37,2.9553029359470124,2.94391704833979,2.142857142857143,concrete
sunray,4.23,3.5514630354737595,3.5941367103258877,2.7142857142857144,concrete
crow,4.93,3.5514630354737595,3.5941367103258877,2.857142857142857,concrete
mutation,3.52,2.8647693756641224,2.8451739405521765,1.8571428571428572,concrete
shackle,4.34,2.979116377190034,2.9698898830268865,2.142857142857143,concrete
equator,3.85,3.008261673776419,3.00167806360021,1.8571428571428572,concrete
earthworm,4.89,3.4609294751908695,3.495393602538275,2.571428571428571,concrete
staircase,4.66,2.6169821360584744,2.574917451876435,1.8571428571428572,concrete
cat,4.86,3.1634903153525458,3.1709827771154973,2.857142857142857,concrete
capacitor,3.96,2.979116377190034,2.9698898830268865,2.142857142857143,concrete
flag,4.79,2.8047487927214,2.7797107148415097,2.142857142857143,concrete
setup,3.5,2.5331481118727304,2.483481391478671,2.0,concrete
livelong,1.88,3.3703959149079794,3.396650494750662,2.428571428571429,concrete
