item_nr,set_nr,specificity,option1,option2,answer
206,69,"['mid', 'low']",skewered meat,meat,right
207,69,"['high', 'mid']",kebab,skewered meat,right
208,70,"['high', 'mid']",ointment,topical medicine,right
209,70,"['mid', 'low']",topical medicine,medicine,right
210,70,"['high', 'low']",ointment,medicine,right
211,71,"['low', 'high']",politicians,governors,left
212,71,"['mid', 'high']",appointed politicians,governors,left
213,71,"['low', 'mid']",politicians,appointed politicians,left
214,72,"['low', 'high']",reptile,crocodile,left
215,72,"['mid', 'high']",large reptile,crocodile,left
216,72,"['low', 'mid']",reptile,large reptile,left
217,73,"['mid', 'low']",shelled reptile,reptile,right
218,73,"['high', 'mid']",tortoise,shelled reptile,right
219,73,"['high', 'low']",tortoise,reptile,right
220,74,"['low', 'mid']",residences,huge residences,left
221,74,"['high', 'mid']",mansions,huge residences,right
222,74,"['high', 'low']",mansions,residences,right
223,75,"['mid', 'low']",tomato sauce,sauce,right
224,75,"['high', 'low']",ketchup,sauce,right
225,75,"['mid', 'high']",tomato sauce,ketchup,left
226,76,"['high', 'low']",clogs,shoe,right
227,76,"['high', 'mid']",clogs,wooden shoe,right
228,76,"['mid', 'low']",wooden shoe,shoe,right
229,77,"['mid', 'low']",potato snacks,snacks,right
230,77,"['high', 'mid']",crisps,potato snacks,right
231,77,"['high', 'low']",crisps,snacks,right
232,78,"['low', 'high']",tool,shears,left
233,78,"['high', 'mid']",shears,cutting tool,right
234,78,"['low', 'mid']",tool,cutting tool,left
235,79,"['high', 'low']",spade,tool,right
236,79,"['mid', 'low']",digging tool,tool,right
237,79,"['mid', 'high']",digging tool,spade,left
238,80,"['high', 'mid']",trowel,gardening tool,right
239,80,"['low', 'high']",tool,trowel,left
240,80,"['low', 'mid']",tool,gardening tool,left
241,81,"['low', 'mid']",tree,coniferous tree,left
242,81,"['low', 'high']",tree,fir,left
243,81,"['mid', 'high']",coniferous tree,fir,left
244,82,"['low', 'high']",tree,palm,left
245,82,"['low', 'mid']",tree,tropical tree,left
246,82,"['mid', 'high']",tropical tree,palm,left
247,83,"['low', 'mid']",utensil,tined utensil,left
248,83,"['high', 'mid']",fork,tined utensil,right
249,83,"['low', 'high']",utensil,fork,left
250,84,"['mid', 'high']",purple vegetable,aubergine,left
251,84,"['low', 'mid']",vegetable,purple vegetable,left
252,84,"['low', 'high']",vegetable,aubergine,left
253,85,"['high', 'low']",carrot,vegetable,right
254,85,"['mid', 'low']",orange vegetable,vegetable,right
255,85,"['high', 'mid']",carrot,orange vegetable,right
256,86,"['mid', 'high']",yellow vegetable,corn,left
257,86,"['low', 'mid']",vegetable,yellow vegetable,left
258,86,"['low', 'high']",vegetable,corn,left
259,87,"['high', 'low']",lettuce,vegetable,right
260,87,"['low', 'mid']",vegetable,leafy vegetable,left
261,87,"['high', 'mid']",lettuce,leafy vegetable,right
262,88,"['low', 'high']",vegetable,cabbage,left
263,88,"['high', 'mid']",cabbage,round vegetable,right
264,88,"['low', 'mid']",vegetable,round vegetable,left
265,89,"['high', 'low']",potato,vegetable,right
266,89,"['high', 'mid']",potato,starchy vegetable,right
267,89,"['low', 'mid']",vegetable,starchy vegetable,left
268,90,"['low', 'mid']",vegetable,orange vegetable,left
269,90,"['high', 'mid']",pumpkin,orange vegetable,right
270,90,"['low', 'high']",vegetable,pumpkin,left
271,91,"['high', 'mid']",ambulance,medical vehicle,right
272,91,"['high', 'low']",ambulance,vehicle,right
273,91,"['low', 'mid']",vehicle,medical vehicle,left
274,92,"['mid', 'low']",horse-drawn vehicle,vehicle,right
275,92,"['mid', 'high']",horse-drawn vehicle,chariot,left
276,92,"['low', 'high']",vehicle,chariot,left
277,93,"['mid', 'low']",transport vehicle,vehicle,right
278,93,"['high', 'mid']",lorry,transport vehicle,right
279,93,"['high', 'low']",lorry,vehicle,right
280,94,"['high', 'low']",submarine,vehicle,right
281,94,"['low', 'mid']",vehicle,underwater vehicle,left
282,94,"['high', 'mid']",submarine,underwater vehicle,right
283,95,"['mid', 'high']",armoured vehicle,tank,left
284,95,"['mid', 'low']",armoured vehicle,vehicle,right
285,95,"['low', 'high']",vehicle,tank,left
286,96,"['high', 'low']",tractor,vehicle,right
287,96,"['mid', 'high']",farm vehicle,tractor,left
288,96,"['mid', 'low']",farm vehicle,vehicle,right
289,97,"['mid', 'high']",water vessel,bottle,left
290,97,"['high', 'low']",bottle,vessel,right
291,97,"['mid', 'low']",water vessel,vessel,right
292,98,"['mid', 'low']",flower vessel,vessel,right
293,98,"['high', 'low']",vase,vessel,right
294,98,"['mid', 'high']",flower vessel,vase,left
295,99,"['low', 'high']",wine,champagne,left
296,99,"['high', 'mid']",champagne,fizzy wine,right
297,99,"['low', 'mid']",wine,fizzy wine,left
298,100,"['low', 'high']",food,pasta,left
299,100,"['mid', 'high']",Italian food,pasta,left
300,100,"['mid', 'low']",Italian food,food,right
301,101,"['high', 'low']",sushi,food,right
302,101,"['mid', 'low']",Japanese food,food,right
303,101,"['high', 'mid']",sushi,Japanese food,right
